Line,ped.donor,best.matches,all.intros.match.ped,N.blocks.unfiltered,Total.Intro.Sizes.Unfiltered,Total.Intro.Prop.Unfiltered,N.blocks.filtered,N.mismatch.blocks,N.NA.blocks,N.donor.matches
CML103/B73 NIL-1001,CML103,CML103,TRUE,1,26223806,0.0123697198113208,1,0,0,1
CML103/B73 NIL-1002,CML103,CML103,TRUE,2,23859659.5,0.0112545563679245,2,0,0,1
CML103/B73 NIL-1003A,CML103,CML103,TRUE,2,12570622.5,0.00592953891509434,1,0,0,1
CML103/B73 NIL-1003B,CML103,CML103,TRUE,2,12180332,0.00574543962264151,1,0,0,1
CML103/B73 NIL-1005,CML103,CML103,TRUE,4,213243851,0.100586722169811,2,0,0,1
CML103/B73 NIL-1008,CML103,CML103,TRUE,4,213679776,0.100792347169811,3,0,1,1
CML103/B73 NIL-1012,CML103,CML103,TRUE,5,136150410,0.064221891509434,3,0,1,1
CML103/B73 NIL-1017,CML103,Tzi8,FALSE,2,42106619.5,0.0198616129716981,2,1,1,1
CML103/B73 NIL-1019A,CML103,CML103,TRUE,3,121618382.5,0.0573671615566038,1,0,0,1
CML103/B73 NIL-1019B,CML103,CML103,TRUE,3,120224562,0.0567096990566038,1,0,0,1
CML103/B73 NIL-1034,CML103,CML103,TRUE,2,136789682,0.0645234349056604,2,0,0,1
CML103/B73 NIL-1037B,CML103,CML103,TRUE,2,8319184,0.00392414339622642,2,0,0,1
CML103/B73 NIL-1041,CML103,CML103,TRUE,2,70171620,0.033099820754717,2,0,1,1
CML103/B73 NIL-1049,CML103,CML103,TRUE,3,14482646.5,0.00683143702830189,3,0,2,1
CML103/B73 NIL-1053,CML103,B73,FALSE,3,117432265.5,0.0553925780660377,2,1,1,1
CML103/B73 NIL-1057,CML103,NA,FALSE,3,1400125,0.000660436320754717,NA,NA,NA,NA
CML103/B73 NIL-1059,CML103,Tzi8,FALSE,1,12082745,0.00569940801886792,1,1,0,1
CML103/B73 NIL-1063,CML103,CML103,TRUE,2,3183427.5,0.00150161674528302,1,0,0,1
CML103/B73 NIL-1072,CML103,NA,FALSE,1,12293563.5,0.00579885070754717,1,0,1,0
CML103/B73 NIL-1076A,CML103,CML103/Tzi8,FALSE,6,55877446,0.0263572858490566,5,1,1,2
CML103/B73 NIL-1076B,CML103,Tzi8/CML103,FALSE,4,14206046.5,0.00670096533018868,3,1,0,2
CML103/B73 NIL-1078A,CML103,Tzi8/CML103,FALSE,2,21930518,0.0103445839622642,2,1,0,2
CML103/B73 NIL-1078B,CML103,NA,FALSE,2,10737527,0.00506487122641509,1,0,1,0
CML103/B73 NIL-1079A,CML103,Tzi8/CML103,FALSE,7,58383651,0.0275394580188679,4,2,0,2
CML103/B73 NIL-1079B,CML103,Tzi8/CML103,FALSE,5,59737314.5,0.0281779785377358,4,2,0,2
CML103/B73 NIL-1079C,CML103,Tzi8/CML103,FALSE,6,49448268.5,0.0233246549528302,6,2,0,2
CML103/B73 NIL-1079D,CML103,Tzi8/CML103,FALSE,6,62941057,0.0296891778301887,6,2,1,2
CML103/B73 NIL-1081A,CML103,CML103/Tzi8,FALSE,7,66883514.5,0.0315488275943396,5,1,1,2
CML103/B73 NIL-1081B,CML103,Tzi8/CML103,FALSE,5,64083962.5,0.0302282841981132,5,2,1,2
CML103/B73 NIL-1084,CML103,Tzi8,FALSE,3,9011838,0.00425086698113208,2,1,1,1
CML103/B73 NIL-1088,CML103,Tzi8,FALSE,3,9957507.5,0.0046969375,1,1,0,1
CML103/B73 NIL-1093,CML103,CML103,TRUE,3,18094464,0.00853512452830189,1,0,0,1
CML103/B73 NIL-1094,CML103,NA,FALSE,3,27546502.5,0.012993633254717,3,0,3,0
CML103/B73 NIL-1098,CML103,Tzi8,FALSE,8,170938846.5,0.0806315313679245,5,4,1,1
CML103/B73 NIL-1113,CML103,Tzi8,FALSE,3,26051879.5,0.0122886224056604,3,1,2,1
CML103/B73 NIL-1114,CML103,Tzi8,FALSE,3,17063014.5,0.00804859174528302,1,1,0,1
CML103/B73 NIL-1116,CML103,Tzi8,FALSE,3,19037688.5,0.00898004174528302,2,1,1,1
CML103/B73 NIL-1129,CML103,CML103,TRUE,3,147026553.5,0.0693521478773585,3,0,0,1
CML103/B73 NIL-1141,CML103,Tzi8,FALSE,4,9923957,0.00468111179245283,2,1,1,1
CML103/B73 NIL-1146,CML103,NA,FALSE,2,22717870.5,0.0107159766509434,1,0,1,0
CML103/B73 NIL-1152,CML103,CML103/B73,FALSE,4,28089290.5,0.0132496653301887,3,1,0,2
CML103/B73 NIL-1153,CML103,CML103,TRUE,2,18948472,0.00893795849056604,2,0,0,1
CML103/B73 NIL-1158,CML103,Tzi8,FALSE,1,7651030,0.00360897641509434,1,1,0,1
CML103/B73 NIL-1160,CML103,CML103,TRUE,2,13357536.5,0.00630072476415094,2,0,1,1
CML103/B73 NIL-1164,CML103,CML103/B73,FALSE,6,34762750.5,0.0163975238207547,5,1,0,2
CML103/B73 NIL-1165,CML103,B73/CML103,FALSE,3,21714960,0.0102429056603774,2,1,0,2
CML103/B73 NIL-1170,CML103,NA,FALSE,8,102412674.5,0.0483078653301887,7,0,7,0
CML103/B73 NIL-1171,CML103,CML103,TRUE,2,6521957.5,0.00307639504716981,1,0,0,1
CML103/B73 NIL-1174,CML103,Tzi8,FALSE,4,123390346.5,0.0582029936320755,2,2,0,1
CML103/B73 NIL-1177,CML103,Mo17/CML103,FALSE,5,25750086.5,0.0121462672169811,3,1,1,2
CML103/B73 NIL-1178,CML103,Mo17,FALSE,5,16372266,0.00772276698113208,2,2,0,1
CML103/B73 NIL-1182A,CML103,CML103,TRUE,3,13017398,0.0061402820754717,3,0,0,1
CML103/B73 NIL-1182B,CML103,CML103,TRUE,4,34195734,0.0161300632075472,4,0,0,1
CML103/B73 NIL-1184,CML103,CML103,TRUE,7,33805850.5,0.0159461558962264,4,0,1,1
CML103/B73 NIL-1194,CML103,CML103,TRUE,4,66538547,0.0313861070754717,2,0,0,1
CML103/B73 NIL-1197,CML103,CML103,TRUE,7,107744289,0.0508227778301887,3,0,0,1
CML103/B73 NIL-1198,CML103,CML103,TRUE,7,106253867,0.0501197485849057,3,0,1,1
CML103/B73 NIL-1202,CML103,CML103,TRUE,3,47274684,0.022299379245283,2,0,0,1
CML103/B73 NIL-1206,CML103,CML103,TRUE,7,123231425.5,0.0581280308962264,4,0,1,1
CML103/B73 NIL-1207,CML103,CML103,TRUE,3,44087006,0.0207957575471698,2,0,0,1
CML103/B73 NIL-1209,CML103,CML103,TRUE,7,42320096,0.0199623094339623,5,0,2,1
CML103/B73 NIL-1212,CML103,Tzi8,FALSE,4,78319381.5,0.0369431044811321,2,2,0,1
CML103/B73 NIL-1216,CML103,Tzi8,FALSE,2,66942466,0.0315766349056604,1,1,0,1
CML103/B73 NIL-1217,CML103,Tzi8,FALSE,4,168717809.5,0.0795838724056604,2,2,0,1
CML103/B73 NIL-1220,CML103,Tzi8,FALSE,4,114866449,0.0541822872641509,3,2,1,1
CML103/B73 NIL-1230,CML103,Mo17,FALSE,4,115862630,0.0546521839622642,4,1,3,1
CML103/B73 NIL-1233,CML103,CML103,TRUE,2,9153886.5,0.00431787099056604,2,0,1,1
CML103/B73 NIL-1234,CML103,CML103,TRUE,3,35121338,0.0165666688679245,2,0,1,1
CML103/B73 NIL-1239,CML103,CML103,TRUE,2,9933413.5,0.00468557240566038,2,0,0,1
CML103/B73 NIL-1242,CML103,CML228/CML103,FALSE,7,231018171.5,0.108970835613208,7,4,0,2
CML103/B73 NIL-1244,CML103,CML228/CML103,FALSE,2,13768150,0.00649441037735849,2,1,0,2
CML103/B73 NIL-1252,CML103,Tzi8,FALSE,3,8717524,0.00411203962264151,3,2,1,1
CML103/B73 NIL-1254A,CML103,CML103,TRUE,1,57111912.5,0.0269395813679245,1,0,0,1
CML103/B73 NIL-1266,CML103,CML103,TRUE,2,9027369.5,0.00425819316037736,2,0,0,1
CML103/B73 NIL-1277,CML103,CML103,TRUE,2,25288034,0.0119283179245283,2,0,1,1
CML103/B73 NIL-1279,CML103,CML103,TRUE,3,22339107,0.0105373146226415,3,0,0,1
CML103/B73 NIL-1281,CML103,Tzi8,FALSE,2,6409632,0.00302341132075472,2,1,1,1
CML103/B73 NIL-1288,CML103,CML103,TRUE,2,16885455.5,0.0079648375,2,0,0,1
CML103/B73 NIL-1290,CML103,NA,FALSE,2,4877044.5,0.00230049268867925,1,0,1,0
CML103/B73 NIL-1303,CML103,CML103,TRUE,1,75143393,0.0354449966981132,1,0,0,1
CML103/B73 NIL-1306,CML103,NA,FALSE,1,2898678,0.00136730094339623,NA,NA,NA,NA
CML103/B73 NIL-1324A,CML103,CML103,TRUE,4,135434442.5,0.063884170990566,3,0,0,1
CML103/B73 NIL-1324B,CML103,CML103,TRUE,5,141672905,0.0668268419811321,3,0,0,1
CML103/B73 NIL-1326,CML103,CML103,TRUE,2,11031841.5,0.00520369882075472,2,0,0,1
CML103/B73 NIL-1330,CML103,CML103,TRUE,2,8731247,0.00411851273584906,1,0,0,1
CML103/B73 NIL-1331,CML103,B73/CML103,FALSE,5,70458377,0.033235083490566,4,2,1,2
CML103/B73 NIL-1340A,CML103,CML103,TRUE,4,122153630.5,0.0576196370283019,3,0,1,1
CML103/B73 NIL-1340B,CML103,NA,FALSE,4,13883225,0.00654869103773585,2,0,2,0
CML103/B73 NIL-1341,CML103,CML103,TRUE,2,29538821,0.0139334061320755,2,0,0,1
CML103/B73 NIL-1342B,CML103,CML103,TRUE,5,34471286.5,0.0162600408018868,3,0,0,1
CML103/B73 NIL-1343,CML103,CML103,TRUE,3,15983997.5,0.00753962146226415,1,0,0,1
CML103/B73 NIL-1345A,CML103,CML103,TRUE,4,32626535.5,0.0153898752358491,3,0,0,1
CML103/B73 NIL-1345B,CML103,CML103,TRUE,4,35265765,0.0166347948113208,4,0,2,1
CML228/B73 NIL-1004,CML228,CML228,TRUE,1,10050812.5,0.00474094929245283,1,0,0,1
CML228/B73 NIL-1006,CML228,CML228,TRUE,1,1333398,0.000628961320754717,1,0,0,1
CML228/B73 NIL-1010,CML228,CML228,TRUE,3,31675670.5,0.014941354009434,1,0,0,1
CML228/B73 NIL-1026,CML228,CML228,TRUE,3,33969330,0.0160232688679245,2,0,0,1
CML228/B73 NIL-1044,CML228,CML228,TRUE,3,22260070.5,0.010500033254717,2,0,1,1
CML228/B73 NIL-1055,CML228,CML247,FALSE,2,12694156,0.00598780943396226,2,1,1,1
CML228/B73 NIL-1063,CML228,CML228,TRUE,2,32678476,0.0154143754716981,2,0,0,1
CML228/B73 NIL-1067,CML228,CML228/B73,FALSE,3,74418398.5,0.0351030181603774,3,1,1,2
CML228/B73 NIL-1069,CML228,CML228,TRUE,3,30386704.5,0.0143333511792453,2,0,0,1
CML228/B73 NIL-1085,CML228,CML228/Ki3,FALSE,5,145351828.5,0.068562183254717,4,1,2,2
CML228/B73 NIL-1086,CML228,CML228,TRUE,3,19563721,0.00922817028301887,1,0,0,1
CML228/B73 NIL-1100,CML228,CML228,TRUE,3,6683466,0.00315257830188679,1,0,0,1
CML228/B73 NIL-1101,CML228,CML228,TRUE,2,11131207.5,0.0052505695754717,2,0,1,1
CML228/B73 NIL-1103,CML228,CML228,TRUE,1,12360588.5,0.00583046627358491,1,0,0,1
CML228/B73 NIL-1104,CML228,CML228,TRUE,3,11372546.5,0.00536440872641509,2,0,0,1
CML228/B73 NIL-1113,CML228,CML228,TRUE,2,5102517.5,0.00240684787735849,2,0,0,1
CML228/B73 NIL-1117A,CML228,CML228/Ki3,FALSE,4,129004055,0.0608509693396226,4,1,0,2
CML228/B73 NIL-1117B,CML228,CML228/Ki3,FALSE,4,129388603.5,0.0610323601415094,4,1,0,2
CML228/B73 NIL-1118A,CML228,CML228/Ki3,FALSE,3,123324080.5,0.0581717360849057,3,1,0,2
CML228/B73 NIL-1118B,CML228,CML228,TRUE,5,133394563.5,0.0629219639150943,4,0,3,1
CML228/B73 NIL-1119,CML228,CML228/Ki11,FALSE,3,55343255,0.0261053089622642,3,1,0,2
CML228/B73 NIL-1121,CML228,CML247,FALSE,2,12818617,0.00604651745283019,2,2,0,1
CML228/B73 NIL-1134B,CML228,CML247,FALSE,3,42355753,0.0199791287735849,3,3,0,1
CML228/B73 NIL-1138,CML228,CML247,FALSE,4,43776038.5,0.0206490747641509,3,3,0,1
CML228/B73 NIL-1139,CML228,CML228,TRUE,3,169133788.5,0.0797800889150943,2,0,0,1
CML228/B73 NIL-1143,CML228,CML247,FALSE,3,43773794,0.0206480160377358,3,3,0,1
CML228/B73 NIL-1146,CML228,CML228,TRUE,3,39810765.5,0.0187786629716981,3,0,1,1
CML228/B73 NIL-1148,CML228,CML228,TRUE,2,2209801,0.00104235896226415,1,0,0,1
CML228/B73 NIL-1157,CML228,CML228,TRUE,3,14429976.5,0.00680659268867924,2,0,0,1
CML228/B73 NIL-1160A,CML228,CML247/B73,FALSE,3,74553628,0.0351668056603774,3,3,0,2
CML228/B73 NIL-1160B,CML228,CML247,FALSE,2,72152843,0.0340343599056604,2,2,0,1
CML228/B73 NIL-1178,CML228,CML228,TRUE,4,17667717.5,0.00833382900943396,2,0,1,1
CML228/B73 NIL-1188,CML228,CML228/CML247,FALSE,4,48624492,0.0229360811320755,4,1,1,2
CML228/B73 NIL-1189,CML228,CML228,TRUE,4,108640441.5,0.0512454912735849,2,0,1,1
CML228/B73 NIL-1201,CML228,CML228,TRUE,1,6121356,0.0028874320754717,1,0,0,1
CML228/B73 NIL-1207,CML228,CML228,TRUE,3,21014545.5,0.00991252146226415,1,0,0,1
CML228/B73 NIL-1217A,CML228,Ki11/CML228,FALSE,4,112112052.5,0.0528830436320755,2,1,0,2
CML228/B73 NIL-1217B,CML228,Ki11/CML228,FALSE,3,112030602.5,0.0528446238207547,2,1,0,2
CML228/B73 NIL-1229,CML228,CML228,TRUE,2,25976988,0.0122532962264151,2,0,0,1
CML228/B73 NIL-1230,CML228,CML228,TRUE,3,38809563,0.0183063976415094,2,0,0,1
CML228/B73 NIL-1232,CML228,CML228,TRUE,2,5413972.5,0.00255376061320755,1,0,0,1
CML247/B73 NIL-1005A,CML247,B73/Mo17,FALSE,42,1185194455,0.559053988207547,30,2,28,2
CML247/B73 NIL-1015,CML247,B73,FALSE,41,1323330248.5,0.624212381367925,32,4,28,1
CML247/B73 NIL-1020,CML247,CML247,TRUE,3,11639254.5,0.00549021438679245,2,0,0,1
CML247/B73 NIL-1032B,CML247,CML247,TRUE,3,28222823,0.0133126523584906,2,0,0,1
CML247/B73 NIL-1037,CML247,CML247,TRUE,1,5635927.5,0.00265845636792453,1,0,0,1
CML247/B73 NIL-1040,CML247,CML247,TRUE,3,23309166,0.0109948896226415,3,0,0,1
CML247/B73 NIL-1050,CML247,CML247,TRUE,4,72670082.5,0.0342783408018868,2,0,0,1
CML247/B73 NIL-1059A,CML247,CML247,TRUE,6,168121238.5,0.079302470990566,2,0,0,1
CML247/B73 NIL-1063,CML247,CML247,TRUE,1,13875573.5,0.00654508183962264,1,0,0,1
CML247/B73 NIL-1065,CML247,CML247,TRUE,3,188776703.5,0.0890456148584906,3,0,0,1
CML247/B73 NIL-1070,CML247,CML247,TRUE,4,101225877.5,0.0477480554245283,2,0,0,1
CML247/B73 NIL-1072,CML247,CML247,TRUE,2,129569132,0.0611175150943396,2,0,1,1
CML247/B73 NIL-1075,CML247,CML247,TRUE,2,8279474,0.00390541226415094,2,0,1,1
CML247/B73 NIL-1082,CML247,CML247,TRUE,2,8130721.5,0.00383524599056604,1,0,0,1
CML247/B73 NIL-1083,CML247,NA,FALSE,2,1322746,0.00062393679245283,NA,NA,NA,NA
CML247/B73 NIL-1090,CML247,CML247,TRUE,4,18857463,0.00889502971698113,2,0,0,1
CML247/B73 NIL-1104,CML247,CML247,TRUE,3,26798788.5,0.0126409379716981,3,0,0,1
CML247/B73 NIL-1105,CML247,CML247,TRUE,2,18912725.5,0.00892109693396226,2,0,0,1
CML247/B73 NIL-1106,CML247,CML247,TRUE,2,8536808,0.00402679622641509,1,0,0,1
CML247/B73 NIL-1107,CML247,CML247,TRUE,2,7546037,0.00355945141509434,2,0,0,1
CML247/B73 NIL-1110,CML247,CML247,TRUE,3,6441988.5,0.00303867382075472,2,0,0,1
CML247/B73 NIL-1125,CML247,CML247,TRUE,1,11870107,0.0055991070754717,1,0,0,1
CML247/B73 NIL-1128,CML247,CML247,TRUE,3,26481142.5,0.0124911049528302,2,0,0,1
CML247/B73 NIL-1130,CML247,CML247,TRUE,4,61918632,0.0292069018867925,2,0,0,1
CML247/B73 NIL-1131,CML247,CML247,TRUE,2,5604212.5,0.00264349646226415,1,0,0,1
CML247/B73 NIL-1139,CML247,CML277,FALSE,2,2319294.5,0.00109400683962264,1,1,0,1
CML247/B73 NIL-1154,CML247,NA,FALSE,2,1689820.5,0.000797085141509434,NA,NA,NA,NA
CML247/B73 NIL-1164,CML247,CML247,TRUE,2,14295024.5,0.00674293608490566,2,0,0,1
CML247/B73 NIL-1179,CML247,CML247,TRUE,1,1886144.5,0.000889690801886792,1,0,0,1
CML247/B73 NIL-1180,CML247,CML247,TRUE,1,3635986,0.00171508773584906,1,0,0,1
CML247/B73 NIL-1181,CML247,CML247,TRUE,2,4145741.5,0.00195553844339623,1,0,0,1
CML247/B73 NIL-1186,CML247,CML277,FALSE,6,83488141.5,0.0393811988207547,4,3,1,1
CML247/B73 NIL-1190,CML247,CML277,FALSE,3,140168923,0.066117416509434,2,2,0,1
CML247/B73 NIL-1194,CML247,CML247,TRUE,5,17030477,0.00803324386792453,4,0,0,1
CML247/B73 NIL-1201,CML247,CML247,TRUE,1,10075496.5,0.00475259268867925,1,0,0,1
CML247/B73 NIL-1206,CML247,CML277,FALSE,6,12951613,0.00610925141509434,4,4,0,1
CML247/B73 NIL-1218,CML247,CML247,TRUE,3,24350105.5,0.0114858988207547,2,0,0,1
CML247/B73 NIL-1241,CML247,CML247,TRUE,3,16678080,0.00786701886792453,2,0,0,1
CML247/B73 NIL-1246A,CML247,CML247,TRUE,1,4208404.5,0.00198509646226415,1,0,0,1
CML247/B73 NIL-1253,CML247,CML247,TRUE,2,82670630.5,0.0389955804245283,2,0,0,1
CML247/B73 NIL-1254,CML247,CML247,TRUE,1,7146754.5,0.00337111061320755,1,0,0,1
CML247/B73 NIL-1262,CML247,CML247,TRUE,1,8502650,0.00401068396226415,1,0,0,1
CML247/B73 NIL-1277,CML247,CML247,TRUE,1,2710954.5,0.00127875212264151,1,0,0,1
CML277/B73 NIL-1004,CML277,CML277,TRUE,1,3321615,0.00156679952830189,1,0,0,1
CML277/B73 NIL-1006,CML277,NA,FALSE,1,321521.5,0.00015166108490566,NA,NA,NA,NA
CML277/B73 NIL-1007,CML277,CML322,FALSE,4,6522420,0.00307661320754717,2,2,0,1
CML277/B73 NIL-1008,CML277,CML322,FALSE,2,9921332.5,0.00467987382075472,2,2,0,1
CML277/B73 NIL-1009,CML277,NA,FALSE,2,2155199.5,0.00101660353773585,NA,NA,NA,NA
CML277/B73 NIL-1011,CML277,CML277,TRUE,5,8112446.5,0.00382662570754717,2,0,1,1
CML277/B73 NIL-1012A,CML277,CML277,TRUE,4,20260149,0.00955667405660377,2,0,0,1
CML277/B73 NIL-1012B,CML277,CML277,TRUE,4,22889365.5,0.0107968705188679,3,0,1,1
CML277/B73 NIL-1017,CML277,CML277,TRUE,5,159726964.5,0.0753429077830189,3,0,0,1
CML277/B73 NIL-1029,CML277,CML277,TRUE,4,21529413,0.010155383490566,3,0,0,1
CML277/B73 NIL-1032,CML277,NA,FALSE,3,10699115.5,0.00504675259433962,3,0,3,0
CML277/B73 NIL-1035,CML277,CML277,TRUE,3,52790722.5,0.0249012841981132,2,0,0,1
CML277/B73 NIL-1041B,CML277,CML277,TRUE,7,328441316,0.154925149056604,2,0,0,1
CML277/B73 NIL-1048,CML277,CML322,FALSE,1,31471871.5,0.0148452224056604,1,1,0,1
CML277/B73 NIL-1061,CML277,CML322,FALSE,3,26052903.5,0.0122891054245283,3,3,0,1
CML277/B73 NIL-1069,CML277,CML322,FALSE,4,44950526,0.0212030783018868,3,3,0,1
CML277/B73 NIL-1081,CML277,CML277,TRUE,4,31067110.5,0.0146542974056604,3,0,0,1
CML277/B73 NIL-1086,CML277,CML277,TRUE,1,13236603,0.00624368066037736,1,0,0,1
CML277/B73 NIL-1090,CML277,CML277,TRUE,1,30137285.5,0.0142157007075472,1,0,0,1
CML277/B73 NIL-1091,CML277,CML277,TRUE,1,62417086.5,0.0294420219339623,1,0,0,1
CML277/B73 NIL-1111B,CML277,CML277,TRUE,4,48088432.5,0.0226832228773585,3,0,0,1
CML277/B73 NIL-1116,CML277,CML322,FALSE,3,19539213.5,0.00921661014150943,1,1,0,1
CML277/B73 NIL-1122,CML277,CML322,FALSE,1,7437754.5,0.00350837476415094,1,1,0,1
CML277/B73 NIL-1124,CML277,CML277,TRUE,2,7770730,0.00366543867924528,2,0,0,1
CML277/B73 NIL-1132A,CML277,CML277,TRUE,3,136099487,0.0641978712264151,2,0,1,1
CML277/B73 NIL-1135,CML277,CML277,TRUE,2,122351759.5,0.0577130941037736,2,0,0,1
CML277/B73 NIL-1136,CML277,CML322,FALSE,1,2673511.5,0.00126109033018868,1,1,0,1
CML277/B73 NIL-1140,CML277,CML277,TRUE,8,283747589,0.133843202358491,7,0,1,1
CML277/B73 NIL-1145,CML277,CML277,TRUE,3,48015550.5,0.0226488445754717,3,0,0,1
CML277/B73 NIL-1149,CML277,NA,FALSE,1,35208.5,1.66077830188679e-05,NA,NA,NA,NA
CML277/B73 NIL-1175,CML277,CML322,FALSE,3,33406407,0.0157577391509434,3,3,0,1
CML277/B73 NIL-1179,CML277,CML277,TRUE,1,5105557.5,0.00240828183962264,1,0,0,1
CML277/B73 NIL-1180,CML277,CML277,TRUE,1,4918614.5,0.00232010117924528,1,0,0,1
CML277/B73 NIL-1183,CML277,CML277,TRUE,2,10397732,0.00490459056603774,2,0,0,1
CML277/B73 NIL-1234A,CML277,CML277,TRUE,2,17156304,0.00809259622641509,1,0,0,1
