Line,ped.donor,N.blocks,N.mismatch.blocks,N.NA.blocks,N.donor.matches,best.matches
Mo18W/B73 NIL-1024,Mo18W,2,0,0,1,Mo18W
Mo18W/B73 NIL-1026,Mo18W,3,1,0,2,Mo18W/B73
Mo18W/B73 NIL-1028A,Mo18W,2,0,0,1,Mo18W
Mo18W/B73 NIL-1029,Mo18W,2,0,0,1,Mo18W
Mo18W/B73 NIL-1031,Mo18W,1,0,0,1,Mo18W
Mo18W/B73 NIL-1033,Mo18W,2,0,1,1,Mo18W
Mo18W/B73 NIL-1035,Mo18W,1,0,0,1,Mo18W
Mo18W/B73 NIL-1037,Mo18W,1,0,0,1,Mo18W
Mo18W/B73 NIL-1045,Mo18W,3,0,0,1,Mo18W
Mo18W/B73 NIL-1053,Mo18W,2,0,0,1,Mo18W
Mo18W/B73 NIL-1054,Mo18W,2,0,0,1,Mo18W
Mo18W/B73 NIL-1058A,Mo18W,4,0,0,1,Mo18W
Mo18W/B73 NIL-1058B,Mo18W,3,0,0,1,Mo18W
Mo18W/B73 NIL-1065,Mo18W,5,5,0,1,Mo17
Mo18W/B73 NIL-1067,Mo18W,2,0,0,1,Mo18W
Mo18W/B73 NIL-1068,Mo18W,2,1,0,2,M162W/Mo18W
Mo18W/B73 NIL-1074,Mo18W,1,0,0,1,Mo18W
Mo18W/B73 NIL-1078,Mo18W,1,0,0,1,Mo18W
Mo18W/B73 NIL-1081,Mo18W,3,0,1,1,Mo18W
Mo18W/B73 NIL-1085,Mo18W,2,0,0,1,Mo18W
Mo18W/B73 NIL-1089A,Mo18W,2,0,0,1,Mo18W
Mo18W/B73 NIL-1089B,Mo18W,2,0,0,1,Mo18W
Mo18W/B73 NIL-1092,Mo18W,1,0,0,1,Mo18W
Mo18W/B73 NIL-1093,Mo18W,1,0,0,1,Mo18W
Mo18W/B73 NIL-1095,Mo18W,2,0,0,1,Mo18W
Mo18W/B73 NIL-1096,Mo18W,2,0,0,1,Mo18W
Mo18W/B73 NIL-1099,Mo18W,7,1,6,1,B73
Mo18W/B73 NIL-1104A,Mo18W,1,0,0,1,Mo18W
Mo18W/B73 NIL-1104B,Mo18W,1,0,0,1,Mo18W
Mo18W/B73 NIL-1105,Mo18W,1,1,0,1,NC358
Mo18W/B73 NIL-1106,Mo18W,5,1,3,2,Oh43/Mo18W
Mo18W/B73 NIL-1108,Mo18W,2,0,0,1,Mo18W
Mo18W/B73 NIL-1109,Mo18W,2,0,0,1,Mo18W
Mo18W/B73 NIL-1115,Mo18W,1,0,0,1,Mo18W
Mo18W/B73 NIL-1116A,Mo18W,2,0,0,1,Mo18W
Mo18W/B73 NIL-1116B,Mo18W,2,0,0,1,Mo18W
Mo18W/B73 NIL-1117,Mo18W,2,0,1,1,Mo18W
Mo18W/B73 NIL-1118,Mo18W,1,0,0,1,Mo18W
Mo18W/B73 NIL-1120,Mo18W,1,0,0,1,Mo18W
Mo18W/B73 NIL-1121,Mo18W,1,0,0,1,Mo18W
Mo18W/B73 NIL-1127,Mo18W,1,0,0,1,Mo18W
Mo18W/B73 NIL-1130,Mo18W,3,0,2,1,Mo18W
Mo18W/B73 NIL-1131,Mo18W,1,0,0,1,Mo18W
Mo18W/B73 NIL-1135,Mo18W,1,0,0,1,Mo18W
Mo18W/B73 NIL-1138,Mo18W,3,0,0,1,Mo18W
Mo18W/B73 NIL-1145,Mo18W,3,0,0,1,Mo18W
Mo18W/B73 NIL-1147,Mo18W,1,0,0,1,Mo18W
Mo18W/B73 NIL-1149B,Mo18W,3,0,0,1,Mo18W
Mo18W/B73 NIL-1149C,Mo18W,3,0,0,1,Mo18W
Mo18W/B73 NIL-1152,Mo18W,1,0,0,1,Mo18W
Mo18W/B73 NIL-1154,Mo18W,2,0,0,1,Mo18W
Mo18W/B73 NIL-1156,Mo18W,2,0,0,1,Mo18W
Mo18W/B73 NIL-1159,Mo18W,1,0,0,1,Mo18W
Mo18W/B73 NIL-1164,Mo18W,1,0,0,1,Mo18W
NC350/B73 NIL-1005,NC350,2,0,0,1,NC350
NC350/B73 NIL-1006,NC350,2,0,0,1,NC350
NC350/B73 NIL-1013,NC350,2,1,0,2,Mo17/NC350
NC350/B73 NIL-1042,NC350,1,0,0,1,NC350
NC350/B73 NIL-1056,NC350,3,0,0,1,NC350
NC350/B73 NIL-1065,NC350,1,1,0,1,NC358
NC350/B73 NIL-1068,NC350,3,3,0,2,NC358/B73
NC350/B73 NIL-1073A,NC350,3,0,0,1,NC350
NC350/B73 NIL-1073B,NC350,2,2,0,1,NC358
NC350/B73 NIL-1077,NC350,1,0,0,1,NC350
NC350/B73 NIL-1079,NC350,1,0,0,1,NC350
NC350/B73 NIL-1080,NC350,3,0,0,1,NC350
NC350/B73 NIL-1090,NC350,2,0,0,1,NC350
NC350/B73 NIL-1097A,NC350,1,0,0,1,NC350
NC350/B73 NIL-1101,NC350,4,1,2,2,B73/NC350
NC350/B73 NIL-1105,NC350,3,0,0,1,NC350
NC350/B73 NIL-1114,NC350,1,1,0,1,NC358
NC350/B73 NIL-1123,NC350,2,0,0,1,NC350
NC350/B73 NIL-1127,NC350,3,2,0,2,Mo17/NC350
NC350/B73 NIL-1128,NC350,1,1,0,1,Mo17
NC350/B73 NIL-1140,NC350,2,0,0,1,NC350
NC350/B73 NIL-1153A,NC350,3,3,0,1,NC358
NC350/B73 NIL-1153B,NC350,3,3,0,1,NC358
NC350/B73 NIL-1155,NC350,1,0,0,1,NC350
NC350/B73 NIL-1157,NC350,4,3,1,2,NC358/B73
NC350/B73 NIL-1165,NC350,4,0,0,1,NC350
NC350/B73 NIL-1169,NC350,2,0,0,1,NC350
NC350/B73 NIL-1179,NC350,1,0,0,1,NC350
NC350/B73 NIL-1180,NC350,2,0,1,1,NC350
NC350/B73 NIL-1182,NC350,5,3,1,2,NC350/Mo17
NC350/B73 NIL-1183,NC350,4,3,0,2,Mo17/NC350
NC350/B73 NIL-1185,NC350,2,2,0,1,Oh43
NC350/B73 NIL-1192,NC350,1,0,0,1,NC350
NC350/B73 NIL-1196,NC350,2,0,0,1,NC350
NC350/B73 NIL-1207,NC350,3,0,0,1,NC350
NC350/B73 NIL-1210,NC350,3,0,3,0,NA
NC350/B73 NIL-1232,NC350,2,0,0,1,NC350
NC350/B73 NIL-1240,NC350,2,0,0,1,NC350
NC350/B73 NIL-1242,NC350,3,0,3,0,NA
NC350/B73 NIL-1246,NC350,3,0,0,1,NC350
NC350/B73 NIL-1250,NC350,2,0,0,1,NC350
NC350/B73 NIL-1265,NC350,2,2,0,1,NC358
NC350/B73 NIL-1270,NC350,1,0,0,1,NC350
NC350/B73 NIL-1272,NC350,4,0,1,1,NC350
NC358/B73 NIL-1008,NC358,4,0,0,1,NC358
NC358/B73 NIL-1009,NC358,2,0,0,1,NC358
NC358/B73 NIL-1017,NC358,1,0,0,1,NC358
NC358/B73 NIL-1018,NC358,2,0,0,1,NC358
NC358/B73 NIL-1035,NC358,2,1,1,1,B73
NC358/B73 NIL-1052,NC358,5,5,0,2,B73/NC350
NC358/B73 NIL-1058,NC358,2,0,0,1,NC358
NC358/B73 NIL-1059B,NC358,1,0,0,1,NC358
NC358/B73 NIL-1069,NC358,1,0,0,1,NC358
NC358/B73 NIL-1075,NC358,2,2,0,1,NC350
NC358/B73 NIL-1080,NC358,2,1,1,1,Mo18W
NC358/B73 NIL-1084,NC358,3,3,0,1,Oh43
NC358/B73 NIL-1104,NC358,1,0,0,1,NC358
NC358/B73 NIL-1108,NC358,2,1,1,1,Tx303
NC358/B73 NIL-1111,NC358,14,13,1,3,Mo17/B73/Oh43
NC358/B73 NIL-1114,NC358,10,6,2,4,Mo17/NC358/CML52/Oh43
NC358/B73 NIL-1132,NC358,3,1,1,2,Tzi8/NC358
NC358/B73 NIL-1134,NC358,2,0,0,1,NC358
NC358/B73 NIL-1145,NC358,5,0,1,1,NC358
NC358/B73 NIL-1146,NC358,3,0,0,1,NC358
NC358/B73 NIL-1151,NC358,4,3,1,1,Tx303
NC358/B73 NIL-1154,NC358,9,7,2,2,B73/Tx303
NC358/B73 NIL-1156,NC358,1,0,0,1,NC358
NC358/B73 NIL-1164,NC358,1,0,0,1,NC358
NC358/B73 NIL-1165,NC358,2,1,1,1,Oh43
NC358/B73 NIL-1166,NC358,1,1,0,1,Tx303
NC358/B73 NIL-1179,NC358,3,1,2,1,Ki11
NC358/B73 NIL-1183,NC358,3,2,1,1,Ki11
NC358/B73 NIL-1188,NC358,1,0,0,1,NC358
NC358/B73 NIL-1189A,NC358,1,0,0,1,NC358
NC358/B73 NIL-1192A,NC358,2,0,0,1,NC358
NC358/B73 NIL-1192B,NC358,1,0,0,1,NC358
NC358/B73 NIL-1204,NC358,2,2,0,1,Oh43
NC358/B73 NIL-1211,NC358,1,0,1,0,NA
NC358/B73 NIL-1227,NC358,2,0,0,1,NC358
NC358/B73 NIL-1233,NC358,3,1,2,1,B73
NC358/B73 NIL-1236,NC358,1,0,0,1,NC358
NC358/B73 NIL-1238A,NC358,2,0,0,1,NC358
Oh43/B73 NIL-1002,Oh43,1,1,0,1,Mo18W
Oh43/B73 NIL-1005,Oh43,4,4,0,2,CML103/CML69
Oh43/B73 NIL-1008,Oh43,2,1,1,1,CML69
Oh43/B73 NIL-1013,Oh43,1,0,0,1,Oh43
Oh43/B73 NIL-1017,Oh43,2,1,1,1,CML69
Oh43/B73 NIL-1021,Oh43,3,3,0,1,NC358
Oh43/B73 NIL-1023A,Oh43,2,0,2,0,NA
Oh43/B73 NIL-1023B,Oh43,1,1,0,1,CML69
Oh43/B73 NIL-1026,Oh43,2,0,0,1,Oh43
Oh43/B73 NIL-1028,Oh43,1,0,0,1,Oh43
Oh43/B73 NIL-1031,Oh43,3,3,0,1,CML69
Oh43/B73 NIL-1037,Oh43,2,0,0,1,Oh43
Oh43/B73 NIL-1046,Oh43,3,0,0,1,Oh43
Oh43/B73 NIL-1053,Oh43,1,1,0,1,Tzi8
Oh43/B73 NIL-1055,Oh43,4,4,0,1,NC358
Oh43/B73 NIL-1056,Oh43,2,0,2,0,NA
Oh43/B73 NIL-1059A,Oh43,1,0,0,1,Oh43
Oh43/B73 NIL-1059B,Oh43,2,2,0,1,NC358
Oh43/B73 NIL-1068,Oh43,1,0,1,0,NA
Oh43/B73 NIL-1073,Oh43,1,0,0,1,Oh43
Oh43/B73 NIL-1099,Oh43,5,3,1,3,B73/CML69/Oh43
Oh43/B73 NIL-1100,Oh43,1,0,1,0,NA
Oh43/B73 NIL-1108,Oh43,1,0,0,1,Oh43
Oh43/B73 NIL-1135,Oh43,3,3,0,1,Tx303
Oh43/B73 NIL-1142,Oh43,3,3,0,1,Tzi8
Oh43/B73 NIL-1143,Oh43,6,3,1,2,Tzi8/Oh43
Oh43/B73 NIL-1145,Oh43,6,4,0,2,Tzi8/Oh43
Oh43/B73 NIL-1157,Oh43,2,0,0,1,Oh43
Oh43/B73 NIL-1171,Oh43,3,3,0,1,NC358
Oh43/B73 NIL-1172A,Oh43,2,0,1,1,Oh43
Oh43/B73 NIL-1173A,Oh43,3,0,1,1,Oh43
Oh43/B73 NIL-1173B,Oh43,2,0,0,1,Oh43
Oh43/B73 NIL-1175A,Oh43,2,0,0,1,Oh43
Oh43/B73 NIL-1175B,Oh43,2,0,1,1,Oh43
Oh43/B73 NIL-1182,Oh43,2,0,0,1,Oh43
Oh43/B73 NIL-1195,Oh43,2,1,1,1,B73
Oh43/B73 NIL-1197,Oh43,1,0,0,1,Oh43
Oh43/B73 NIL-1199,Oh43,3,3,0,2,NC350/Mo17
Oh43/B73 NIL-1211,Oh43,4,0,3,1,Oh43
Oh43/B73 NIL-1218,Oh43,4,0,0,1,Oh43
Oh43/B73 NIL-1230,Oh43,2,1,1,1,CML52
Oh43/B73 NIL-1231,Oh43,5,0,1,1,Oh43
Oh43/B73 NIL-1235,Oh43,2,0,0,1,Oh43
Oh43/B73 NIL-1236A,Oh43,1,0,0,1,Oh43
Oh43/B73 NIL-1236B,Oh43,2,0,0,1,Oh43
Oh43/B73 NIL-1246,Oh43,6,2,3,2,Mo17/Oh43
Oh43/B73 NIL-1250,Oh43,3,1,2,1,Mo17
Oh43/B73 NIL-1255,Oh43,1,0,0,1,Oh43
Oh43/B73 NIL-1270,Oh43,1,0,0,1,Oh43
Oh43/B73 NIL-1281,Oh43,1,0,1,0,NA
Oh43/B73 NIL-1284,Oh43,2,0,0,1,Oh43
Oh43/B73 NIL-1285,Oh43,2,0,1,1,Oh43
Oh43/B73 NIL-1306,Oh43,5,3,2,2,Tx303/Mo17
Oh43/B73 NIL-1307,Oh43,5,4,1,1,Tx303
Oh43/B73 NIL-1308,Oh43,1,1,0,1,NC358
Oh43/B73 NIL-1313,Oh43,1,0,0,1,Oh43
Tx303/B73 NIL-1005,Tx303,4,2,0,2,Tx303/Mo17
Tx303/B73 NIL-1010,Tx303,5,2,0,2,Tx303/Mo17
Tx303/B73 NIL-1011A,Tx303,2,1,0,2,Tx303/Mo17
Tx303/B73 NIL-1015,Tx303,2,1,1,1,Oh43
Tx303/B73 NIL-1017,Tx303,2,2,0,1,NC358
Tx303/B73 NIL-1019,Tx303,4,4,0,1,NC358
Tx303/B73 NIL-1025,Tx303,1,1,0,1,NC358
Tx303/B73 NIL-1028,Tx303,2,0,0,1,Tx303
Tx303/B73 NIL-1030,Tx303,1,0,0,1,Tx303
Tx303/B73 NIL-1037,Tx303,2,0,0,1,Tx303
Tx303/B73 NIL-1045,Tx303,2,2,0,1,NC358
Tx303/B73 NIL-1062,Tx303,3,0,0,1,Tx303
Tx303/B73 NIL-1072,Tx303,3,2,1,1,Mo17
Tx303/B73 NIL-1073,Tx303,3,1,0,2,Mo17/Tx303
Tx303/B73 NIL-1077,Tx303,2,0,0,1,Tx303
Tx303/B73 NIL-1078,Tx303,1,1,0,1,NC358
Tx303/B73 NIL-1079A,Tx303,3,0,0,1,Tx303
Tx303/B73 NIL-1079B,Tx303,4,0,0,1,Tx303
Tx303/B73 NIL-1080,Tx303,3,1,0,2,NC358/Tx303
Tx303/B73 NIL-1085C,Tx303,2,2,0,1,Oh43
Tx303/B73 NIL-1102,Tx303,2,0,0,1,Tx303
Tx303/B73 NIL-1104,Tx303,1,0,0,1,Tx303
Tx303/B73 NIL-1107,Tx303,5,0,0,1,Tx303
Tx303/B73 NIL-1111,Tx303,5,0,0,1,Tx303
Tx303/B73 NIL-1122,Tx303,2,0,1,1,Tx303
Tx303/B73 NIL-1123,Tx303,3,0,0,1,Tx303
Tx303/B73 NIL-1133,Tx303,3,0,0,1,Tx303
Tx303/B73 NIL-1151,Tx303,5,1,3,2,Tx303/B73
Tx303/B73 NIL-1164,Tx303,3,1,0,2,Tx303/Mo17
Tx303/B73 NIL-1166,Tx303,5,0,0,1,Tx303
Tx303/B73 NIL-1178,Tx303,2,0,0,1,Tx303
Tx303/B73 NIL-1186,Tx303,2,0,0,1,Tx303
Tx303/B73 NIL-1187,Tx303,2,0,1,1,Tx303
Tx303/B73 NIL-1193,Tx303,2,0,1,1,Tx303
Tx303/B73 NIL-1201,Tx303,7,5,2,1,Mo17
Tx303/B73 NIL-1203,Tx303,1,0,0,1,Tx303
Tx303/B73 NIL-1208,Tx303,4,0,1,1,Tx303
Tx303/B73 NIL-1209A,Tx303,3,0,0,1,Tx303
Tx303/B73 NIL-1209C,Tx303,13,10,3,2,B73/Mo17
Tx303/B73 NIL-1214,Tx303,1,1,0,1,Oh43
Tx303/B73 NIL-1218,Tx303,7,4,3,2,B73/Mo17
Tx303/B73 NIL-1220,Tx303,1,0,0,1,Tx303
Tx303/B73 NIL-1231,Tx303,1,0,0,1,Tx303
Tx303/B73 NIL-1241,Tx303,1,0,0,1,Tx303
Tx303/B73 NIL-1246,Tx303,2,1,1,1,B73
Tx303/B73 NIL-1248,Tx303,2,0,1,1,Tx303
Tzi8/B73 NIL-1021,Tzi8,2,0,1,1,Tzi8
Tzi8/B73 NIL-1026,Tzi8,2,0,1,1,Tzi8
Tzi8/B73 NIL-1027,Tzi8,2,0,0,1,Tzi8
Tzi8/B73 NIL-1034,Tzi8,4,1,0,2,Tzi8/B73
Tzi8/B73 NIL-1036,Tzi8,4,1,1,2,Tzi8/B73
Tzi8/B73 NIL-1039,Tzi8,2,0,0,1,Tzi8
Tzi8/B73 NIL-1041,Tzi8,2,0,0,1,Tzi8
Tzi8/B73 NIL-1045A,Tzi8,3,0,0,1,Tzi8
Tzi8/B73 NIL-1056,Tzi8,2,0,1,1,Tzi8
Tzi8/B73 NIL-1060A,Tzi8,3,0,0,1,Tzi8
Tzi8/B73 NIL-1060B,Tzi8,3,0,0,1,Tzi8
Tzi8/B73 NIL-1064,Tzi8,1,0,1,0,NA
Tzi8/B73 NIL-1069,Tzi8,1,0,0,1,Tzi8
Tzi8/B73 NIL-1072,Tzi8,2,0,1,1,Tzi8
Tzi8/B73 NIL-1088,Tzi8,3,0,1,1,Tzi8
Tzi8/B73 NIL-1101,Tzi8,10,5,4,3,Tzi8/Mo17/Oh43
Tzi8/B73 NIL-1107,Tzi8,9,5,2,4,B73/Tzi8/Mo17/Oh43
Tzi8/B73 NIL-1133C,Tzi8,3,0,1,1,Tzi8
Tzi8/B73 NIL-1140,Tzi8,2,0,0,1,Tzi8
Tzi8/B73 NIL-1143,Tzi8,2,0,0,1,Tzi8
Tzi8/B73 NIL-1148B,Tzi8,2,0,0,1,Tzi8
Tzi8/B73 NIL-1153,Tzi8,4,2,1,3,Mo17/Oh43/Tzi8
Tzi8/B73 NIL-1154,Tzi8,3,1,1,2,Mo17/Tzi8
Tzi8/B73 NIL-1157,Tzi8,3,0,3,0,NA
Tzi8/B73 NIL-1160,Tzi8,1,0,1,0,NA
Tzi8/B73 NIL-1165,Tzi8,5,1,0,2,Tzi8/B73
Tzi8/B73 NIL-1176,Tzi8,7,1,3,2,Tzi8/Mo17
Tzi8/B73 NIL-1186,Tzi8,5,1,4,1,Mo17
Tzi8/B73 NIL-1189,Tzi8,1,0,0,1,Tzi8
Tzi8/B73 NIL-1190,Tzi8,1,0,0,1,Tzi8
Tzi8/B73 NIL-1201,Tzi8,1,0,0,1,Tzi8
Tzi8/B73 NIL-1213,Tzi8,3,0,1,1,Tzi8
Tzi8/B73 NIL-1215,Tzi8,3,0,0,1,Tzi8
Tzi8/B73 NIL-1216,Tzi8,1,0,0,1,Tzi8
Tzi8/B73 NIL-1218,Tzi8,2,0,0,1,Tzi8
Tzi8/B73 NIL-1219,Tzi8,4,0,2,1,Tzi8
Tzi8/B73 NIL-1220,Tzi8,6,1,3,2,Tzi8/Ki3
Tzi8/B73 NIL-1230,Tzi8,6,0,2,1,Tzi8
Tzi8/B73 NIL-1234,Tzi8,4,0,1,1,Tzi8
Tzi8/B73 NIL-1241,Tzi8,2,0,0,1,Tzi8
Tzi8/B73 NIL-1251,Tzi8,1,0,0,1,Tzi8
Tzi8/B73 NIL-1258,Tzi8,1,0,0,1,Tzi8
Tzi8/B73 NIL-1271,Tzi8,2,0,0,1,Tzi8
Tzi8/B73 NIL-1277,Tzi8,2,0,1,1,Tzi8
Tzi8/B73 NIL-1280,Tzi8,1,0,0,1,Tzi8
Tzi8/B73 NIL-1281,Tzi8,3,0,0,1,Tzi8
Tzi8/B73 NIL-1282,Tzi8,2,0,0,1,Tzi8
Tzi8/B73 NIL-1285,Tzi8,2,0,1,1,Tzi8
Tzi8/B73 NIL-1305,Tzi8,4,0,1,1,Tzi8
Tzi8/B73 NIL-1308,Tzi8,1,0,1,0,NA
Tzi8/B73 NIL-1310,Tzi8,2,0,1,1,Tzi8
Tzi8/B73 NIL-1312,Tzi8,1,0,0,1,Tzi8
Tzi8/B73 NIL-1314,Tzi8,1,0,0,1,Tzi8
Tzi8/B73 NIL-1321,Tzi8,2,0,1,1,Tzi8
Tzi8/B73 NIL-1322,Tzi8,2,0,1,1,Tzi8
Tzi8/B73 NIL-1333,Tzi8,2,0,2,0,NA
Tzi8/B73 NIL-1338,Tzi8,1,0,0,1,Tzi8
